Licence number,01/123,01/123,01/12/2018,,,
Return reference,1234,4567,12,,,
Nil return Y/N,N,N,N,,,
Meter make,,,,,,
Meter serial number,,,,,,
Week ending 8 April 2018,,Do not edit,,,,
Week ending 15 April 2018,,Do not edit,,,,
Week ending 21 April 2018,,Do not edit,,,,
Week ending 28 April 2018,Do not edit,,,,,
Week ending 4 May 2018,Do not edit,,,,,
Week ending 11 May 2018,Do not edit,,,,,
Week ending 18 May 2018,Do not edit,,,,,
Week ending 25 May 2018,Do not edit,,,,,
Week ending 2 June 2018,Do not edit,,,,,
Week ending 9 June 2018,Do not edit,,,,,
Week ending 16 June 2018,Do not edit,,,,,
Unique return reference,v1:4:01/123:1234:2018-04-01:2019-03-31,v1:4:01/123:1234:2018-04-01:2019-03-31,v1:4:01/123:1234:2018-04-01:2019-03-31,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
